Customer Id,Customer Segment,Customer Country,Customer City,Customer State,Customer Street,Customer Zipcode
19460,Consumer,EE. UU.,Detroit,MI,3915 Broad Lookout,48238.0
19459,Consumer,EE. UU.,Dallas,TX,7190 Silver Horse Glade,75220.0
19458,Corporate,Puerto Rico,Caguas,PR,830 Broad Beacon Maze,725.0
19457,Corporate,EE. UU.,Carlisle,PA,6127 Dewy Goose Downs,17013.0
19456,Corporate,EE. UU.,Dallas,TX,1188 Old Abbey,75228.0
19455,Consumer,Puerto Rico,Caguas,PR,7004 Hazy Lake Townline,725.0
19454,Consumer,EE. UU.,Newark,DE,2556 Umber Autoroute,19702.0
19453,Consumer,EE. UU.,Panorama City,CA,3722 Thunder Cape,91402.0
19452,Home Office,Puerto Rico,Caguas,PR,2676 Velvet Common,725.0
19451,Home Office,EE. UU.,Atlanta,GA,833 Amber Anchor Glen,30318.0
19450,Home Office,Puerto Rico,Caguas,PR,830 Quaking Bear Grounds,725.0
19449,Consumer,EE. UU.,Fremont,CA,1509 Middle Oak Isle,94539.0
19448,Corporate,Puerto Rico,Caguas,PR,9712 Fallen Robin Diversion,725.0
19447,Corporate,EE. UU.,Rochester,NY,8665 Sunny Deer Woods,14609.0
19446,Corporate,EE. UU.,Dallas,TX,9879 Harvest Deer Farms,75211.0
9083,Home Office,Puerto Rico,Bayamon,PR,75 Sunny Grounds,957.0
4741,Home Office,Puerto Rico,Caguas,PR,9731 Honey Fox Towers,725.0
639,Home Office,Puerto Rico,Caguas,PR,7573 Golden Treasure Centre,725.0
9702,Home Office,Puerto Rico,Caguas,PR,8369 Sunny Crossing,725.0
9114,Home Office,Puerto Rico,Caguas,PR,1425 Fallen Fox Arbor,725.0
1362,Home Office,Puerto Rico,Caguas,PR,2290 Crystal Pathway,725.0
8011,Home Office,Puerto Rico,Caguas,PR,6179 Noble Panda Moor,725.0
3296,Home Office,Puerto Rico,Caguas,PR,8205 Silver Grove Row,725.0
3182,Home Office,Puerto Rico,Caguas,PR,7786 Middle Private,725.0
7864,Home Office,Puerto Rico,Caguas,PR,4294 High Passage,725.0
11169,Home Office,Puerto Rico,Caguas,PR,5274 Easy Beach,725.0
5197,Home Office,Puerto Rico,Caguas,PR,4692 Jagged Thicket,725.0
1535,Home Office,Puerto Rico,Caguas,PR,5161 Crystal Quail Jetty,725.0
6122,Home Office,Puerto Rico,Caguas,PR,1465 Round Fawn Passage,725.0
9451,Home Office,Puerto Rico,Caguas,PR,5723 Cinder Loop,725.0
542,Home Office,Puerto Rico,Caguas,PR,2991 Silent Deer Landing,725.0
11329,Home Office,Puerto Rico,Caguas,PR,5086 Emerald Fox Farms,725.0
3570,Home Office,Puerto Rico,Caguas,PR,3909 Hidden Treasure Beach,725.0
650,Home Office,Puerto Rico,Caguas,PR,4691 Cinder Crest,725.0
9353,Home Office,Puerto Rico,Caguas,PR,5703 Tawny Creek Townline,725.0
54,Home Office,Puerto Rico,Caguas,PR,7333 Cinder Way,725.0
12151,Home Office,Puerto Rico,Caguas,PR,9404 Heather Bluff Dale,725.0
10018,Home Office,Puerto Rico,Caguas,PR,1632 Green Fawn Corners,725.0
4936,Home Office,Puerto Rico,Caguas,PR,8344 Noble Mountain Gate,725.0
8707,Home Office,Puerto Rico,Caguas,PR,7208 Bright Landing,725.0
1025,Home Office,Puerto Rico,Caguas,PR,1393 Umber Sky Estates,725.0
8831,Home Office,Puerto Rico,Caguas,PR,8165 Red Lane,725.0
10679,Home Office,Puerto Rico,Caguas,PR,331 Grand Orchard,725.0
5007,Home Office,Puerto Rico,Caguas,PR,2264 Thunder Abbey,725.0
9854,Home Office,Puerto Rico,Caguas,PR,9082 Merry Lookout,725.0
376,Home Office,Puerto Rico,Caguas,PR,6468 Fallen Close,725.0
5417,Home Office,Puerto Rico,Caguas,PR,7342 Hidden Walk,725.0
10759,Home Office,Puerto Rico,Caguas,PR,577 Rustic Nectar Row,725.0
8541,Home Office,Puerto Rico,Caguas,PR,5700 Little Circle,725.0
3752,Home Office,Puerto Rico,Caguas,PR,7840 Umber Sky Villas,725.0
4673,Home Office,Puerto Rico,Caguas,PR,7509 Iron Concession,725.0
5367,Home Office,Puerto Rico,Caguas,PR,2199 Silver Autumn Key,725.0
10485,Home Office,Puerto Rico,Caguas,PR,9470 Shady View Bend,725.0
9272,Home Office,Puerto Rico,Caguas,PR,9366 Silent Nectar Highway,725.0
647,Consumer,Puerto Rico,Caguas,PR,4167 Stony Extension,725.0
6398,Consumer,Puerto Rico,Caguas,PR,7370 Sleepy Way,725.0
4209,Consumer,Puerto Rico,Caguas,PR,1613 Broad Beach,725.0
8917,Consumer,Puerto Rico,Caguas,PR,4992 Jagged Forest Subdivision,725.0
7784,Consumer,Puerto Rico,Caguas,PR,3216 Red Glade,725.0
1425,Consumer,Puerto Rico,Caguas,PR,3481 Crystal Campus,725.0
2737,Consumer,Puerto Rico,Caguas,PR,5424 Rustic Anchor Boulevard,725.0
6428,Consumer,Puerto Rico,Caguas,PR,3567 Heather Knoll,725.0
6543,Consumer,Puerto Rico,Caguas,PR,7958 Thunder Apple Street,725.0
3990,Consumer,Puerto Rico,Guayama,PR,6496 Harvest Highlands,784.0
8524,Consumer,Puerto Rico,Caguas,PR,1453 Lazy Cider Hill,725.0
9204,Consumer,Puerto Rico,Caguas,PR,8713 Quaking Abbey,725.0
11761,Consumer,Puerto Rico,Caguas,PR,1285 Noble Pointe,725.0
9554,Consumer,Puerto Rico,Caguas,PR,6314 Honey Canyon,725.0
5118,Consumer,Puerto Rico,Caguas,PR,1388 Blue Turnabout,725.0
5506,Consumer,Puerto Rico,Caguas,PR,1122 Old Fox Lookout,725.0
1423,Consumer,Puerto Rico,Caguas,PR,257 Iron Elk Maze,725.0
138,Consumer,Puerto Rico,Caguas,PR,9544 Noble Spring Route,725.0
6360,Consumer,Puerto Rico,Caguas,PR,7094 Misty Wynd,725.0
2053,Consumer,Puerto Rico,Caguas,PR,1025 Colonial Plaza,725.0
10344,Consumer,Puerto Rico,Juana Diaz,PR,2839 Grand Timber Canyon,795.0
3375,Consumer,Puerto Rico,Caguas,PR,6174 Wishing Front,725.0
1339,Consumer,Puerto Rico,Caguas,PR,9447 Dusty Gate Centre,725.0
7247,Consumer,Puerto Rico,Caguas,PR,6401 Shady Embers Farms,725.0
1273,Consumer,Puerto Rico,Caguas,PR,595 Indian Path,725.0
6277,Consumer,Puerto Rico,Caguas,PR,1820 Noble Elk Harbour,725.0
7701,Consumer,Puerto Rico,Caguas,PR,1577 Green Vista,725.0
4126,Consumer,Puerto Rico,Caguas,PR,9920 Little Lane,725.0
9528,Consumer,Puerto Rico,Caguas,PR,3089 Gentle Horse Chase,725.0
1853,Consumer,Puerto Rico,Caguas,PR,4090 Colonial End,725.0
11149,Consumer,Puerto Rico,Caguas,PR,4601 Amber Grove Hollow,725.0
5828,Consumer,Puerto Rico,Caguas,PR,2127 Middle Goose Mews,725.0
6887,Consumer,Puerto Rico,Caguas,PR,8840 Harvest Towers,725.0
4781,Consumer,Puerto Rico,Caguas,PR,8617 Cinder Mountain Forest,725.0
10668,Consumer,Puerto Rico,Caguas,PR,5087 Crystal Hills Manor,725.0
5421,Consumer,Puerto Rico,Caguas,PR,1548 Lazy Place,725.0
10200,Consumer,Puerto Rico,Caguas,PR,9009 Merry Nectar Heights,725.0
11254,Consumer,Puerto Rico,Caguas,PR,4316 Misty Way,725.0
11106,Consumer,Puerto Rico,Caguas,PR,6324 Lazy Lane,725.0
8456,Consumer,Puerto Rico,Caguas,PR,9198 Rocky Run,725.0
6149,Consumer,Puerto Rico,Caguas,PR,5736 Heather Byway,725.0
1473,Consumer,Puerto Rico,Caguas,PR,7334 Umber Expressway,725.0
1840,Consumer,Puerto Rico,Caguas,PR,427 Grand Branch Hill,725.0
6757,Consumer,Puerto Rico,Caguas,PR,2035 Lazy Diversion,725.0
3972,Consumer,Puerto Rico,Caguas,PR,4520 Grand Port,725.0
9316,Consumer,Puerto Rico,Caguas,PR,7489 Green End,725.0
11213,Consumer,Puerto Rico,Caguas,PR,620 Thunder Creek Towers,725.0
3474,Consumer,Puerto Rico,Caguas,PR,555 Lazy Robin Freeway,725.0
14630,Consumer,Puerto Rico,Caguas,PR,4722 Round Embers Falls,725.0
13256,Consumer,Puerto Rico,Caguas,PR,1836 Cozy View Orchard,725.0
14665,Consumer,Puerto Rico,Caguas,PR,5257 Umber Field,725.0
13363,Consumer,Puerto Rico,Caguas,PR,9079 Dewy Deer Harbour,725.0
14645,Consumer,Puerto Rico,Caguas,PR,1284 High Apple Highlands,725.0
13163,Consumer,Puerto Rico,Caguas,PR,9816 Grand Hills Knoll,725.0
14553,Consumer,Puerto Rico,Caguas,PR,5301 Blue Street,725.0
14287,Consumer,Puerto Rico,Caguas,PR,7274 Middle Wynd,725.0
13179,Consumer,Puerto Rico,Caguas,PR,2668 Velvet Row ,725.0
13035,Consumer,Puerto Rico,Caguas,PR,567 Fallen Pines ,725.0
14322,Consumer,Puerto Rico,Caguas,PR,9870 Little Hickory Loop,725.0
13196,Consumer,Puerto Rico,Caguas,PR,5763 Green Crossing ,725.0
14604,Consumer,Puerto Rico,Caguas,PR,4854 Tawny Cove,725.0
12961,Consumer,Puerto Rico,Caguas,PR,8297 Golden Green ,725.0
14676,Consumer,Puerto Rico,Caguas,PR,7293 Lazy Hill,725.0
14087,Consumer,Puerto Rico,Caguas,PR,8967 Sleepy Lane,725.0
13194,Consumer,Puerto Rico,Caguas,PR,6370 Emerald Row ,725.0
14513,Consumer,Puerto Rico,Caguas,PR,3065 Foggy Horse Port,725.0
13461,Consumer,Puerto Rico,Caguas,PR,1393 Umber Sky Estates,725.0
14510,Consumer,Puerto Rico,Caguas,PR,5493 Burning Horse Heath,725.0
13190,Consumer,Puerto Rico,Caguas,PR,529 Blue Grove Rise,725.0
14508,Consumer,Puerto Rico,Caguas,PR,4462 Little Lagoon Route,725.0
14472,Consumer,Puerto Rico,Caguas,PR,9854 Jagged Impasse,725.0
14562,Consumer,Puerto Rico,Caguas,PR,5336 Sleepy Sky Common,725.0
13206,Consumer,Puerto Rico,Caguas,PR,3836 Blue Brook Stead,725.0
13080,Consumer,Puerto Rico,Caguas,PR,4896 Honey Wood ,725.0
14633,Consumer,Puerto Rico,Caguas,PR,4592 Grand Timber Ramp,725.0
14097,Consumer,Puerto Rico,Caguas,PR,146 Middle Terrace,725.0
13024,Consumer,Puerto Rico,Caguas,PR,3710 Little Nook ,725.0
778,Consumer,Puerto Rico,Caguas,PR,9598 Cinder Close,725.0
7146,Consumer,Puerto Rico,Caguas,PR,6998 Old Treasure Crossing,725.0
6365,Consumer,Puerto Rico,Caguas,PR,100 Jagged Cloud Pathway,725.0
8422,Consumer,Puerto Rico,Caguas,PR,8110 Old Place,725.0
3784,Consumer,Puerto Rico,Caguas,PR,9221 Cotton Butterfly Terrace,725.0
10519,Consumer,Puerto Rico,Caguas,PR,4110 Quaking Abbey,725.0
7132,Consumer,Puerto Rico,Caguas,PR,6574 Shady Horse Wood,725.0
3709,Consumer,Puerto Rico,Caguas,PR,4555 Amber Apple Cape,725.0
1509,Consumer,EE. UU.,Freeport,NY,3675 Emerald Goose Bank,11520.0
1636,Consumer,EE. UU.,Fort Washington,MD,9375 Harvest Circuit,20744.0
2784,Consumer,EE. UU.,Bakersfield,CA,3993 Thunder Hills Port,93304.0
9174,Consumer,EE. UU.,Corona,NY,9414 Thunder Island Court,11368.0
122,Consumer,EE. UU.,Cincinnati,OH,7573 Cozy Goose Road,45238.0
3800,Consumer,EE. UU.,Germantown,MD,5985 Silent Leaf Vale,20874.0
10029,Consumer,EE. UU.,Carrollton,TX,1230 Crystal Lookout,75006.0
2805,Consumer,EE. UU.,Houston,TX,6350 Lost Hollow,77093.0
12253,Consumer,EE. UU.,Carlisle,PA,4898 Red Butterfly Autoroute,17013.0
3528,Consumer,EE. UU.,Los Angeles,CA,7312 Crystal Willow Villas,90023.0
11018,Consumer,EE. UU.,Ewa Beach,HI,9595 Blue Promenade,96706.0
3222,Consumer,EE. UU.,Lakewood,NJ,1790 Noble Brook Run,8701.0
6246,Consumer,EE. UU.,Rome,NY,2459 Round Spring Towers,13440.0
8741,Consumer,EE. UU.,Vista,CA,690 Colonial Pine Passage,92083.0
8050,Consumer,EE. UU.,Fort Worth,TX,739 Jagged Goose Street,76106.0
5474,Consumer,EE. UU.,Fond Du Lac,WI,29 Gentle Spring Mews,54935.0
474,Consumer,EE. UU.,Philadelphia,PA,5532 Tawny Pines,19139.0
12255,Consumer,EE. UU.,Ontario,CA,4502 Hazy Run,91764.0
10288,Consumer,EE. UU.,Oviedo,FL,6026 Stony Elk Hill,32765.0
4717,Consumer,EE. UU.,Buffalo,NY,4903 Lazy Parkway,14221.0
4799,Consumer,EE. UU.,Honolulu,HI,3902 Foggy Swale,96822.0
4533,Consumer,EE. UU.,Oceanside,CA,990 Dewy Crest,92056.0
12383,Consumer,EE. UU.,North Tonawanda,NY,9899 Hazy Falls,14120.0
3518,Consumer,EE. UU.,Clovis,CA,7449 Merry Chase,93611.0
4674,Consumer,EE. UU.,Jamaica,NY,7694 Velvet Turnabout,11434.0
8519,Consumer,EE. UU.,Granite City,IL,1585 Stony Rabbit Hollow,62040.0
5302,Consumer,EE. UU.,Medford,MA,2289 Cozy Promenade,2155.0
3594,Consumer,EE. UU.,Pomona,CA,830 Clear Sky Vale,91766.0
9890,Consumer,EE. UU.,Tempe,AZ,2833 Clear Valley,85281.0
1410,Consumer,EE. UU.,Santa Ana,CA,4682 Cozy Freeway,92703.0
7521,Consumer,EE. UU.,York,PA,4196 Noble Beacon Mews,17402.0
2106,Consumer,EE. UU.,Aurora,CO,231 Bright Alley,80010.0
8144,Consumer,EE. UU.,Simi Valley,CA,3926 Stony Gardens,93065.0
5643,Consumer,EE. UU.,Silver Spring,MD,3632 Fallen Pioneer Isle,20904.0
2041,Consumer,EE. UU.,Saint Paul,MN,1070 Dusty Beacon Maze,55124.0
7537,Consumer,EE. UU.,San Antonio,TX,469 Crystal Anchor Mountain,78201.0
3056,Consumer,EE. UU.,Philadelphia,PA,3601 Cozy Creek Trail,19143.0
7967,Consumer,EE. UU.,Philadelphia,PA,7007 Quiet Via,19149.0
1758,Consumer,EE. UU.,Bronx,NY,2515 Burning Boulevard,10466.0
7884,Corporate,EE. UU.,Greenville,NC,2127 Cozy Deer Bank,27858.0
289,Corporate,EE. UU.,Morristown,NJ,3593 Easy Embers Field,7960.0
10081,Corporate,EE. UU.,San Diego,CA,9900 Hidden Rise Downs,92115.0
1169,Corporate,EE. UU.,Oxnard,CA,1055 Crystal Woods,93030.0
1182,Corporate,EE. UU.,Miami,FL,5365 Tawny Apple Limits,33147.0
717,Corporate,EE. UU.,Albuquerque,NM,4845 Thunder Embers Hollow,87111.0
20423,Corporate,EE. UU.,Amarillo,TX,5154 Honey Bend,79109.0
5801,Corporate,EE. UU.,Lutz,FL,6715 Gentle Horse Row,33549.0
702,Corporate,EE. UU.,Bend,OR,6412 Crystal View Townline,97701.0
6951,Corporate,EE. UU.,East Brunswick,NJ,263 Harvest Wood,8816.0
6780,Corporate,EE. UU.,Lancaster,SC,7111 Cotton Blossom Estates,29720.0
6422,Corporate,EE. UU.,Ontario,CA,3005 Bright Maze,91762.0
5384,Corporate,EE. UU.,Houston,TX,5657 Lost Expressway,77015.0
2985,Corporate,EE. UU.,Hampton,VA,183 Velvet Grove Towers,23666.0
18349,Corporate,EE. UU.,New York,NY,2275 Rustic Impasse,10016.0
11286,Corporate,EE. UU.,Porterville,CA,8279 Bright Fox Highway,93257.0
489,Corporate,EE. UU.,Portland,OR,2792 Middle Mount,97223.0
4510,Corporate,EE. UU.,Strongsville,OH,6414 Jagged Sky Gardens,44136.0
9626,Corporate,EE. UU.,El Paso,TX,4849 Clear Blossom Turnabout,79927.0
9494,Corporate,EE. UU.,Del Rio,TX,8248 Clear Glade,78840.0
1718,Corporate,EE. UU.,Buffalo,NY,4606 Umber Range,14221.0
5295,Corporate,EE. UU.,Bountiful,UT,2058 Quaking Oak Common,84010.0
3984,Corporate,EE. UU.,Kent,WA,5131 Gentle Limits,98031.0
5270,Corporate,EE. UU.,Chicago,IL,9595 Iron Orchard,60620.0
10966,Corporate,EE. UU.,Plymouth,MA,6797 Quiet Mountain Rise,2360.0
1868,Corporate,EE. UU.,Far Rockaway,NY,340 Velvet Barn Gate,11691.0
17446,Corporate,EE. UU.,Houston,TX,569 Hazy Wynd,77088.0
10071,Corporate,EE. UU.,Philadelphia,PA,5768 Jagged Zephyr Port,19124.0
1271,Corporate,EE. UU.,Simi Valley,CA,1021 Silver Log Cape,93065.0
11930,Corporate,EE. UU.,Detroit,MI,2002 Noble Crescent,48227.0
20529,Corporate,EE. UU.,Garden Grove,CA,7262 Emerald Boulevard,92840.0
8358,Corporate,EE. UU.,San Diego,CA,9176 Shady Barn Jetty,92105.0
7705,Corporate,EE. UU.,Chicago,IL,3670 Broad Mountain Link,60609.0
17392,Corporate,EE. UU.,Placentia,CA,7126 Hazy Berry Mount,92870.0
18276,Corporate,EE. UU.,San Jose,CA,4845 Thunder Embers Hollow,95148.0
7795,Corporate,EE. UU.,Honolulu,HI,1134 Misty River Woods,96822.0
20655,Corporate,EE. UU.,Mentor,OH,5808 Silver Rise Circuit,44060.0
2454,Corporate,EE. UU.,Santa Clara,CA,3180 Golden Cider Circle,95051.0
150,Corporate,EE. UU.,Union,NJ,5593 Indian Trail,7083.0
10671,Corporate,EE. UU.,Long Beach,CA,1987 Grand Alley,90805.0
11924,Corporate,EE. UU.,Westminster,CA,4463 Cotton Quail Forest,92683.0
16086,Corporate,EE. UU.,Pompano Beach,FL,5875 Grand Campus,33068.0
4398,Consumer,EE. UU.,Azusa,CA,1010 Rustic Fox View,91702.0
5687,Consumer,EE. UU.,Fort Lauderdale,FL,1430 Easy Spring Key,33324.0
8534,Consumer,EE. UU.,San Antonio,TX,3050 Crystal Fawn Green,78201.0
3372,Consumer,EE. UU.,Princeton,NJ,3139 Golden Autumn Byway,8540.0
10927,Consumer,EE. UU.,Perth Amboy,NJ,3356 Crystal Farm,8861.0
3597,Consumer,EE. UU.,Miami,FL,8473 Crystal Hickory Path,33162.0
2052,Consumer,EE. UU.,Loveland,OH,874 Thunder Front,45140.0
4399,Consumer,EE. UU.,Virginia Beach,VA,9627 Little Terrace,23455.0
185,Consumer,EE. UU.,Louisville,KY,9295 Emerald Downs,40214.0
3441,Consumer,EE. UU.,Lockport,NY,8400 Clear Wagon  Row,14094.0
11947,Consumer,EE. UU.,Chicago,IL,5420 Crystal Hill,60608.0
1555,Consumer,EE. UU.,Staten Island,NY,4047 Grand Port,10314.0
9399,Consumer,EE. UU.,Tucson,AZ,6575 Quiet Loop,85719.0
2792,Consumer,EE. UU.,Plymouth,MA,4317 Emerald Bay,2360.0
10118,Consumer,EE. UU.,Cleveland,OH,5325 Amber Blossom Way,44120.0
8544,Consumer,EE. UU.,Bronx,NY,3065 Foggy Horse Port,10458.0
4296,Consumer,EE. UU.,Webster,NY,3867 Middle Leaf By-pass,14580.0
4391,Consumer,EE. UU.,Stockton,CA,6332 Round Range,95207.0
2882,Consumer,EE. UU.,Amarillo,TX,6826 Quiet Lane,79109.0
3283,Consumer,EE. UU.,Martinsburg,WV,3882 Golden Maze,25401.0
397,Consumer,EE. UU.,Cumberland,MD,1102 Misty Rabbit Alley,21502.0
4104,Consumer,EE. UU.,Pekin,IL,8581 Blue Crescent,61554.0
12214,Consumer,EE. UU.,Tallahassee,FL,2749 Emerald Glen,32308.0
10699,Consumer,EE. UU.,Jacksonville,FL,7320 Wishing Rise Mall ,32225.0
2091,Consumer,EE. UU.,Woonsocket,RI,3087 Hazy Glen,2895.0
10474,Consumer,EE. UU.,Stockton,CA,125 Easy Lake Close,95206.0
7504,Consumer,EE. UU.,Lithonia,GA,4263 Cozy Embers Ledge,30058.0
7518,Consumer,EE. UU.,Oak Lawn,IL,9725 Cotton Forest,60453.0
1738,Consumer,EE. UU.,Detroit,MI,1915 Thunder Hickory Freeway,48213.0
1622,Consumer,EE. UU.,Alhambra,CA,1098 Fallen By-pass,91801.0
1325,Consumer,EE. UU.,New Haven,CT,8271 Foggy Horse Inlet,6511.0
5505,Consumer,EE. UU.,North Tonawanda,NY,3046 Broad Sky Dale,14120.0
4210,Consumer,EE. UU.,Phoenix,AZ,1200 Silent Bend,85029.0
11229,Consumer,EE. UU.,Kenner,LA,8768 Shady Arbor,70065.0
9385,Consumer,EE. UU.,Washington,PA,3361 Little Ledge,15301.0
900,Consumer,EE. UU.,Holland,MI,2088 Emerald Downs,49423.0
6217,Consumer,EE. UU.,Morrisville,PA,5263 Middle Road,19067.0
9466,Consumer,EE. UU.,Memphis,TN,7111 Cotton Blossom Estates,38128.0
4596,Consumer,EE. UU.,Federal Way,WA,9419 Cinder Hickory Towers,98023.0
5206,Consumer,EE. UU.,San Diego,CA,4212 Cozy Corners,92113.0
2823,Consumer,EE. UU.,Chicago,IL,3614 Misty Mall ,60626.0
10408,Consumer,EE. UU.,Los Angeles,CA,8706 Harvest Green,90027.0
11011,Consumer,EE. UU.,Bronx,NY,3193 Gentle Circuit,10457.0
40,Consumer,EE. UU.,Long Beach,CA,7358 Rocky Villas,90805.0
11636,Consumer,EE. UU.,Chicago,IL,112 Green Fawn Estates,60637.0
7454,Corporate,EE. UU.,West Covina,CA,7094 Round Carrefour,91790.0
5138,Corporate,EE. UU.,Ventura,CA,3367 Easy Pines,93003.0
8696,Corporate,EE. UU.,Washington,DC,4776 Crystal River Stead,20009.0
2329,Corporate,EE. UU.,Valrico,FL,7312 Umber Prairie Wynd,33594.0
12431,Corporate,EE. UU.,Kaneohe,HI,1221 Cinder Pines,96744.0
10860,Corporate,EE. UU.,Ventura,CA,8824 Noble View Valley,93003.0
12094,Corporate,EE. UU.,Brooklyn,NY,2720 Stony Field,11218.0
5088,Corporate,EE. UU.,Oceanside,CA,698 Colonial Way,92057.0
2200,Corporate,EE. UU.,Fort Worth,TX,7409 Cotton Manor,76116.0
3997,Corporate,EE. UU.,Brooklyn,NY,5731 Cinder Horse Court,11218.0
8746,Corporate,EE. UU.,Cleveland,OH,72 Noble Path,44120.0
3687,Corporate,EE. UU.,Philadelphia,PA,923 Amber Grounds,19145.0
9162,Corporate,EE. UU.,Lodi,CA,3901 Iron Parade,95240.0
8993,Corporate,EE. UU.,Bakersfield,CA,4915 Lazy Pine Bay,93308.0
5875,Corporate,EE. UU.,Philadelphia,PA,654 Gentle Acres,19143.0
2502,Corporate,EE. UU.,Long Beach,CA,7581 Cinder Link,90813.0
9563,Corporate,EE. UU.,San Jose,CA,6001 Iron Diversion,95122.0
7259,Corporate,EE. UU.,Murfreesboro,TN,9198 Blue Swale,37130.0
3131,Corporate,EE. UU.,Carlsbad,CA,3358 Middle Ridge,92009.0
4140,Corporate,EE. UU.,Hamilton,OH,9785 Silver Hickory Walk,45011.0
4539,Corporate,EE. UU.,Houston,TX,9391 Little Leaf Ramp,77083.0
6071,Corporate,EE. UU.,New York,NY,3810 Honey Swale,10031.0
8730,Corporate,EE. UU.,Hayward,CA,5166 Middle Circuit,94541.0
9634,Corporate,EE. UU.,Bridgeton,NJ,2269 High Limits,8302.0
8010,Corporate,EE. UU.,Martinsburg,WV,6901 Lazy Plaza,25401.0
3484,Corporate,EE. UU.,Bay Shore,NY,67 Cotton Mountain Terrace,11706.0
7307,Corporate,EE. UU.,Palatine,IL,4291 Sunny Fox Mews,60067.0
1975,Corporate,EE. UU.,Smyrna,GA,7790 Green Berry Gate,30080.0
629,Corporate,EE. UU.,Van Nuys,CA,9922 Misty Oak Inlet,91406.0
11753,Corporate,EE. UU.,Opa Locka,FL,9128 Little Cloud Bay,33055.0
5375,Corporate,EE. UU.,Los Angeles,CA,1819 Noble Ramp,90046.0
1695,Corporate,EE. UU.,Saint Paul,MN,9539 Velvet Trace,55106.0
9884,Corporate,EE. UU.,Edison,NJ,125 Colonial Butterfly Stead,8817.0
8498,Corporate,EE. UU.,Baytown,TX,9084 Middle Embers Passage,77520.0
7534,Corporate,EE. UU.,Sylmar,CA,1994 Lost Berry Promenade,91342.0
123,Corporate,EE. UU.,Bend,OR,7676 Colonial Towers,97701.0
8925,Corporate,EE. UU.,Opa Locka,FL,2422 High River Corners,33055.0
5981,Corporate,EE. UU.,Burnsville,MN,398 Pleasant Mountain,55337.0
7347,Corporate,EE. UU.,Huntington Station,NY,2070 Indian Leaf Edge,11746.0
19445,Corporate,Puerto Rico,Caguas,PR,9135 Green Island Moor,725.0
19444,Corporate,EE. UU.,Sunnyvale,CA,1800 Quiet Creek Stead,94087.0
19443,Corporate,EE. UU.,Sugar Land,TX,1165 Quiet Inlet,77478.0
19442,Corporate,Puerto Rico,Caguas,PR,432 Rocky Link,725.0
19441,Corporate,EE. UU.,Brighton,MA,2607 Clear Branch Cape,2135.0
19440,Corporate,Puerto Rico,Caguas,PR,6826 Quiet Lane,725.0
